enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_type,last_new_job,training_hours,target,company_size_from,company_size_to
29725,city_40,0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,15,private limited company,5,47,0,50,99
00666,city_162,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,21,Funded Startup,4,8,0,50,99
00402,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,private limited company,5,18,1,1,10
27107,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,private limited company,1,46,1,50,99
23853,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,private limited company,1,108,0,5000,9999
25619,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,3,23,0,1000,4999
06588,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,private limited company,5,18,0,10,49
31972,city_159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11,private limited company,1,68,0,100,500
19061,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,private limited company,2,50,0,100,500
07041,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,0,private limited company,1,65,0,1000,4999
10408,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,Funded Startup,2,68,1,50,99
14928,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,3,40,0,100,500
22293,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19,private limited company,5,141,0,5000,9999
26966,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,5,82,0,100,500
26494,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,private limited company,3,145,0,5000,9999
04866,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Early Stage Startup,2,206,0,10,49
10164,city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,21,private limited company,4,42,1,100,500
02547,city_114,0.926,Female,Has relevent experience,Full time course,Masters,STEM,16,Public Sector,2,14,0,1000,4999
05590,city_21,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9,private limited company,3,7,1,5000,9999
09006,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,private limited company,0,87,1,100,500
25103,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,private limited company,1,21,0,10,49
02195,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,private limited company,2,102,0,100,500
30533,city_105,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,private limited company,5,26,0,10000,99999
12253,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,1,45,0,100,500
25296,city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2,Early Stage Startup,2,52,0,50,99
18578,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,21,private limited company,5,26,1,100,500
26516,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,private limited company,3,25,0,100,500
08433,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,Humanities,21,private limited company,5,48,0,100,500
05878,city_93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,private limited company,2,142,1,50,99
12730,city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,Public Sector,1,28,0,500,999
12731,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,private limited company,1,29,0,10,49
22683,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5,private limited company,2,65,0,50,99
22134,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,private limited company,1,35,0,100,500
31765,city_67,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9,private limited company,3,14,0,10000,99999
31449,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2,Early Stage Startup,1,4,0,1,10
05987,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,private limited company,5,12,0,50,99
